06/06/2026 18:17:55.616 19 1780769875616
06/06/2026 18:17:55.835 1 219
06/06/2026 18:17:56.037 14 202
06/06/2026 18:17:56.251 21 214
06/06/2026 18:17:56.472 1 221
06/06/2026 18:17:56.673 1 201
06/06/2026 18:17:56.874 2 201
06/06/2026 18:17:57.076 28 202
06/06/2026 18:17:57.304 18 228
06/06/2026 18:17:57.522 2 218
06/06/2026 18:17:57.724 1 202
06/06/2026 18:17:57.925 2 201
06/06/2026 18:17:58.127 13 202
06/06/2026 18:17:58.341 2 214
06/06/2026 18:17:58.543 1 202
06/06/2026 18:17:58.744 2 201
06/06/2026 18:17:58.946 1 202
06/06/2026 18:17:59.147 1 201
06/06/2026 18:17:59.349 1 202
06/06/2026 18:17:59.550 23 201
06/06/2026 18:17:59.773 1 223
06/06/2026 18:17:59.974 2 201
06/06/2026 18:18:00.176 1 202
06/06/2026 18:18:00.377 21 201
06/06/2026 18:18:00.598 2 221
06/06/2026 18:18:00.800 1 202
06/06/2026 18:18:01.001 2 201
06/06/2026 18:18:01.203 12 202
06/06/2026 18:18:01.415 1 212
06/06/2026 18:18:01.617 1 202
06/06/2026 18:18:01.818 1 201
06/06/2026 18:18:02.019 1 201
06/06/2026 18:18:02.221 1 202
06/06/2026 18:18:02.422 2 201
06/06/2026 18:18:02.624 1 202
06/06/2026 18:18:02.825 1 201
06/06/2026 18:18:03.026 1 201
06/06/2026 18:18:03.228 23 202
06/06/2026 18:18:03.451 24 223
06/06/2026 18:18:03.676 29 225
06/06/2026 18:18:03.905 12 229
06/06/2026 18:18:04.117 2 212
06/06/2026 18:18:04.319 1 202
06/06/2026 18:18:04.520 1 201
06/06/2026 18:18:04.722 0 202
06/06/2026 18:18:04.923 1 201
06/06/2026 18:18:05.124 1 201
06/06/2026 18:18:05.325 14 201
06/06/2026 18:18:05.540 0 215
06/06/2026 18:18:05.740 1 200
06/06/2026 18:18:05.941 9 201
06/06/2026 18:18:06.150 17 209
06/06/2026 18:18:06.367 2 217
06/06/2026 18:18:06.569 1 202
06/06/2026 18:18:06.770 1 201
06/06/2026 18:18:06.971 1 201
06/06/2026 18:18:07.172 1 201
06/06/2026 18:18:07.373 1 201
06/06/2026 18:18:07.574 1 201
06/06/2026 18:18:07.776 0 202
06/06/2026 18:18:07.976 1 200
06/06/2026 18:18:08.178 22 202
06/06/2026 18:18:08.401 15 223
06/06/2026 18:18:08.616 2 215
06/06/2026 18:18:08.818 1 202
06/06/2026 18:18:09.019 1 201
06/06/2026 18:18:09.220 1 201
06/06/2026 18:18:09.421 1 201
06/06/2026 18:18:09.622 1 201
06/06/2026 18:18:09.823 1 201
06/06/2026 18:18:10.024 1 201
06/06/2026 18:18:10.225 1 201
06/06/2026 18:18:10.426 24 201
06/06/2026 18:18:10.650 1 224
06/06/2026 18:18:10.851 1 201
06/06/2026 18:18:11.052 1 201
06/06/2026 18:18:11.253 21 201
06/06/2026 18:18:11.474 1 221
06/06/2026 18:18:11.675 1 201
06/06/2026 18:18:11.876 1 201
06/06/2026 18:18:12.077 27 201
06/06/2026 18:18:12.304 19 227
06/06/2026 18:18:12.523 2 219
06/06/2026 18:18:12.725 1 202
06/06/2026 18:18:12.926 4 201
06/06/2026 18:18:13.130 5 204
06/06/2026 18:18:13.335 2 205
06/06/2026 18:18:13.537 1 202
06/06/2026 18:18:13.738 1 201
06/06/2026 18:18:13.939 1 201
06/06/2026 18:18:14.140 1 201
06/06/2026 18:18:14.341 1 201
06/06/2026 18:18:14.542 3 201
06/06/2026 18:18:14.745 1 203
06/06/2026 18:18:14.946 6 201
06/06/2026 18:18:15.152 16 206
06/06/2026 18:18:15.368 2 216
06/06/2026 18:18:15.570 1 202
06/06/2026 18:18:15.771 1 201
06/06/2026 18:18:15.972 1 201
06/06/2026 18:18:51.525 2 1780769931525
06/06/2026 18:18:51.727 21 202
06/06/2026 18:18:51.948 51 221
06/06/2026 18:18:52.199 1 251
06/06/2026 18:18:52.400 17 201
06/06/2026 18:18:52.617 13 217
06/06/2026 18:18:52.830 2 213
06/06/2026 18:18:53.032 2 202
06/06/2026 18:18:53.234 1 202
06/06/2026 18:18:53.435 2 201
06/06/2026 18:18:53.637 1 202
06/06/2026 18:18:53.838 2 201
06/06/2026 18:18:54.040 18 202
06/06/2026 18:18:54.258 1 218
06/06/2026 18:18:54.459 2 201
06/06/2026 18:18:54.661 1 202
06/06/2026 18:18:54.862 36 201
06/06/2026 18:18:55.098 6 236
06/06/2026 18:18:55.304 2 206
06/06/2026 18:18:55.506 1 202
06/06/2026 18:18:55.707 1 201
06/06/2026 18:18:55.908 2 201
06/06/2026 18:18:56.110 1 202
06/06/2026 18:18:56.311 1 201
06/06/2026 18:18:56.512 22 201
06/06/2026 18:18:56.734 1 222
06/06/2026 18:18:56.935 1 201
06/06/2026 18:18:57.136 1 201
06/06/2026 18:18:57.338 13 202
06/06/2026 18:18:57.552 1 214
06/06/2026 18:18:57.753 1 201
06/06/2026 18:18:57.954 2 201
06/06/2026 18:18:58.156 1 202
06/06/2026 18:18:58.357 1 201
06/06/2026 18:18:58.558 1 201
06/06/2026 18:18:58.759 1 201
06/06/2026 18:18:58.960 1 201
06/06/2026 18:18:59.161 1 201
06/06/2026 18:18:59.362 21 201
06/06/2026 18:18:59.584 1 222
06/06/2026 18:18:59.785 1 201
06/06/2026 18:18:59.986 1 201
06/06/2026 18:19:00.187 14 201
06/06/2026 18:19:00.401 1 214
06/06/2026 18:19:00.602 1 201
06/06/2026 18:19:00.803 1 201
06/06/2026 18:19:01.004 1 201
06/06/2026 18:19:01.206 0 202
06/06/2026 18:19:01.406 0 200
06/06/2026 18:19:01.607 0 201
06/06/2026 18:19:01.807 1 200
06/06/2026 18:19:02.008 1 201
06/06/2026 18:19:02.209 1 201
06/06/2026 18:19:02.410 1 201
06/06/2026 18:19:02.611 1 201
06/06/2026 18:19:02.812 23 201
06/06/2026 18:19:03.035 1 223
06/06/2026 18:19:03.236 1 201
06/06/2026 18:19:03.437 1 201
06/06/2026 18:19:03.638 16 201
06/06/2026 18:19:03.854 1 216
06/06/2026 18:19:04.055 1 201
06/06/2026 18:19:04.256 1 201
06/06/2026 18:19:04.457 1 201
06/06/2026 18:19:04.658 1 201
06/06/2026 18:19:04.859 1 201
06/06/2026 18:19:05.060 1 201
06/06/2026 18:19:05.261 0 201
06/06/2026 18:19:05.462 0 201
06/06/2026 18:19:05.662 21 200
06/06/2026 18:19:05.883 1 221
06/06/2026 18:19:06.084 1 201
06/06/2026 18:19:06.285 1 201
06/06/2026 18:19:06.486 1 201
06/06/2026 18:19:06.687 1 201
06/06/2026 18:19:06.888 1 201
06/06/2026 18:19:07.089 15 201
06/06/2026 18:19:07.304 1 215
06/06/2026 18:19:07.505 1 201
06/06/2026 18:19:07.706 0 201
06/06/2026 18:19:07.907 0 201
06/06/2026 18:19:08.107 1 200
06/06/2026 18:19:08.308 1 201
06/06/2026 18:19:08.509 1 201
06/06/2026 18:19:08.710 1 201
06/06/2026 18:19:08.911 1 201
06/06/2026 18:19:09.112 1 201
06/06/2026 18:19:09.313 0 201
06/06/2026 18:19:09.513 1 200
06/06/2026 18:19:09.714 22 201
06/06/2026 18:19:09.937 0 223
06/06/2026 18:19:10.137 1 200
06/06/2026 18:19:10.338 1 201
06/06/2026 18:19:10.539 13 201
06/06/2026 18:19:10.752 1 213
06/06/2026 18:19:10.953 1 201
06/06/2026 18:19:11.154 6 201
06/06/2026 18:19:11.360 1 206
06/06/2026 18:19:11.561 1 201
06/06/2026 18:19:11.762 1 201
06/06/2026 18:22:41.018 2 1780770161018
06/06/2026 18:22:41.220 2 202
06/06/2026 18:22:41.422 8 202
06/06/2026 18:22:41.630 2 208
06/06/2026 18:22:41.832 1 202
06/06/2026 18:22:42.033 2 201
06/06/2026 18:22:42.235 3 202
06/06/2026 18:22:42.438 1 203
06/06/2026 18:22:42.639 1 201
06/06/2026 18:22:42.840 17 201
06/06/2026 18:22:43.057 31 217
06/06/2026 18:22:43.288 19 231
06/06/2026 18:22:43.507 26 219
06/06/2026 18:22:43.733 14 226
06/06/2026 18:22:43.947 1 214
06/06/2026 18:22:44.148 1 201
06/06/2026 18:22:44.349 18 201
06/06/2026 18:22:44.567 7 218
06/06/2026 18:22:44.774 2 207
06/06/2026 18:22:44.976 2 202
06/06/2026 18:22:45.178 2 202
06/06/2026 18:22:45.380 1 202
06/06/2026 18:22:45.582 1 202
06/06/2026 18:22:45.783 1 201
06/06/2026 18:22:45.984 1 201
06/06/2026 18:22:46.186 1 202
06/06/2026 18:22:46.387 1 201
06/06/2026 18:22:46.588 2 201
06/06/2026 18:22:46.790 1 202
06/06/2026 18:22:46.991 1 201
06/06/2026 18:22:47.192 12 201
06/06/2026 18:22:47.404 1 212
06/06/2026 18:22:47.605 2 201
06/06/2026 18:22:47.807 1 202
06/06/2026 18:22:48.008 1 201
06/06/2026 18:22:48.209 1 201
06/06/2026 18:22:48.410 1 201
06/06/2026 18:22:48.611 12 201
06/06/2026 18:22:48.823 1 212
06/06/2026 18:22:49.024 1 201
06/06/2026 18:22:49.225 1 201
06/06/2026 18:22:49.426 1 201
06/06/2026 18:22:49.627 1 201
06/06/2026 18:22:49.828 0 201
06/06/2026 18:22:50.029 0 201
06/06/2026 18:22:50.230 0 201
06/06/2026 18:22:50.430 2 200
06/06/2026 18:22:50.632 1 202
06/06/2026 18:22:50.833 1 201
06/06/2026 18:22:51.034 0 201
06/06/2026 18:22:51.234 18 200
06/06/2026 18:22:51.452 1 218
06/06/2026 18:22:51.653 1 201
06/06/2026 18:22:51.854 1 201
06/06/2026 18:22:52.055 1 201
06/06/2026 18:22:52.256 1 201
06/06/2026 18:22:52.457 1 201
06/06/2026 18:22:52.658 13 201
06/06/2026 18:22:52.871 1 213
06/06/2026 18:22:53.072 1 201
06/06/2026 18:22:53.273 1 201
06/06/2026 18:22:53.474 1 201
06/06/2026 18:22:53.675 1 201
06/06/2026 18:22:53.876 1 201
06/06/2026 18:22:54.077 4 201
06/06/2026 18:22:54.281 1 204
06/06/2026 18:22:54.482 1 201
06/06/2026 18:22:54.683 19 201
06/06/2026 18:22:54.902 1 219
06/06/2026 18:22:55.103 1 201
06/06/2026 18:22:55.304 1 201
06/06/2026 18:22:55.505 1 201
06/06/2026 18:22:55.706 1 201
06/06/2026 18:22:55.907 1 201
06/06/2026 18:22:56.108 11 201
06/06/2026 18:22:56.319 1 211
06/06/2026 18:22:56.520 1 201
06/06/2026 18:22:56.721 1 201
06/06/2026 18:22:56.922 1 201
06/06/2026 18:22:57.123 1 201
06/06/2026 18:22:57.324 1 201
06/06/2026 18:22:57.525 0 201
06/06/2026 18:22:57.726 0 201
06/06/2026 18:22:57.926 1 200
06/06/2026 18:22:58.127 1 201
06/06/2026 18:22:58.328 1 201
06/06/2026 18:22:58.529 1 201
06/06/2026 18:22:58.730 1 201
06/06/2026 18:22:58.930 0 200
06/06/2026 18:22:59.130 1 200
06/06/2026 18:22:59.331 1 201
06/06/2026 18:22:59.532 2 201
06/06/2026 18:22:59.734 1 202
06/06/2026 18:22:59.935 20 201
06/06/2026 18:23:00.155 1 220
06/06/2026 18:23:00.356 1 201
06/06/2026 18:23:00.557 1 201
06/06/2026 18:23:00.758 13 201
06/06/2026 18:23:00.972 0 214
06/06/2026 18:23:01.173 838 201
06/06/2026 18:23:20.707 12 1780770200707
06/06/2026 18:23:20.919 2 212
06/06/2026 18:23:21.121 2 202
06/06/2026 18:23:21.323 16 202
06/06/2026 18:23:21.539 3 216
06/06/2026 18:23:21.742 2 203
06/06/2026 18:23:21.944 2 202
06/06/2026 18:23:22.147 1 203
06/06/2026 18:23:22.348 1 201
06/06/2026 18:23:22.550 1 202
06/06/2026 18:23:22.751 1 201
06/06/2026 18:23:22.952 20 201
06/06/2026 18:23:23.172 25 220
06/06/2026 18:23:23.397 1 225
06/06/2026 18:23:23.598 2 201
06/06/2026 18:23:23.800 1 202
06/06/2026 18:23:24.001 19 201
06/06/2026 18:23:24.220 1 219
06/06/2026 18:23:24.422 1 202
06/06/2026 18:23:24.623 1 201
06/06/2026 18:23:24.824 21 201
06/06/2026 18:23:25.046 1 222
06/06/2026 18:23:25.247 1 201
06/06/2026 18:23:25.448 1 201
06/06/2026 18:23:25.649 20 201
06/06/2026 18:23:25.870 1 221
06/06/2026 18:23:26.072 1 202
06/06/2026 18:23:26.273 1 201
06/06/2026 18:23:26.474 11 201
06/06/2026 18:23:26.685 1 211
06/06/2026 18:23:26.886 2 201
06/06/2026 18:23:27.088 1 202
06/06/2026 18:23:27.289 1 201
06/06/2026 18:23:27.491 1 202
06/06/2026 18:23:27.692 1 201
06/06/2026 18:23:27.893 1 201
